timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/05/26 19:00:46.556, 0, NVIDIA GeForce GTX 1070, 1 %, 3162 MiB
2026/05/26 19:00:47.564, 0, NVIDIA GeForce GTX 1070, 0 %, 3162 MiB
2026/05/26 19:00:48.573, 0, NVIDIA GeForce GTX 1070, 1 %, 3162 MiB
2026/05/26 19:00:49.583, 0, NVIDIA GeForce GTX 1070, 1 %, 3099 MiB
2026/05/26 19:00:50.594, 0, NVIDIA GeForce GTX 1070, 0 %, 3099 MiB
2026/05/26 19:00:51.594, 0, NVIDIA GeForce GTX 1070, 0 %, 3089 MiB
2026/05/26 19:00:52.603, 0, NVIDIA GeForce GTX 1070, 2 %, 3085 MiB
2026/05/26 19:00:53.618, 0, NVIDIA GeForce GTX 1070, 3 %, 3149 MiB
2026/05/26 19:00:54.622, 0, NVIDIA GeForce GTX 1070, 2 %, 3149 MiB
2026/05/26 19:00:55.626, 0, NVIDIA GeForce GTX 1070, 2 %, 3150 MiB
2026/05/26 19:00:56.640, 0, NVIDIA GeForce GTX 1070, 2 %, 3134 MiB
2026/05/26 19:00:57.655, 0, NVIDIA GeForce GTX 1070, 3 %, 3092 MiB
2026/05/26 19:00:58.662, 0, NVIDIA GeForce GTX 1070, 2 %, 3092 MiB
2026/05/26 19:00:59.670, 0, NVIDIA GeForce GTX 1070, 2 %, 3092 MiB
2026/05/26 19:01:00.680, 0, NVIDIA GeForce GTX 1070, 2 %, 3091 MiB
2026/05/26 19:01:01.687, 0, NVIDIA GeForce GTX 1070, 2 %, 3091 MiB
2026/05/26 19:01:02.693, 0, NVIDIA GeForce GTX 1070, 2 %, 3082 MiB
2026/05/26 19:01:03.698, 0, NVIDIA GeForce GTX 1070, 2 %, 3080 MiB
2026/05/26 19:01:04.713, 0, NVIDIA GeForce GTX 1070, 2 %, 3080 MiB
2026/05/26 19:01:05.719, 0, NVIDIA GeForce GTX 1070, 3 %, 3083 MiB
2026/05/26 19:01:06.722, 0, NVIDIA GeForce GTX 1070, 2 %, 3083 MiB
2026/05/26 19:01:07.734, 0, NVIDIA GeForce GTX 1070, 2 %, 3083 MiB
